id,timestamp,symbol,last_price,bid_price,ask_price,volume,trade_time,msg_type
508,2025-01-21 14:44:46,MSTR,,,,21476544,,quote
509,2025-01-21 14:44:46,AAPL,221.51,400,,70435135,2025-01-21 20:44:45,quote
510,2025-01-21 14:44:46,SPY,602.56,100,602.58,28041591,2025-01-21 20:44:45,quote
511,2025-01-21 14:44:46,META,617.04,,,7578267,2025-01-21 20:44:45,quote
512,2025-01-21 14:44:46,QQQ,524.76,900,524.77,18804229,2025-01-21 20:44:45,quote
513,2025-01-21 14:44:46,MSTR,,100,,21476562,,quote
514,2025-01-21 14:44:46,NFLX,,868.12,,5045042,,quote
515,2025-01-21 14:44:46,GOOG,200.1777,200.17,200.19,11157696,2025-01-21 20:44:45,quote
516,2025-01-21 14:44:46,COIN,,296.11,,10799293,,quote
517,2025-01-21 14:44:46,GS,100,,,4292189,2025-01-21 20:44:46,quote
518,2025-01-21 14:44:46,TSLA,421.8724,200,421.98,76426310,2025-01-21 20:44:45,quote
519,2025-01-21 14:44:46,AMZN,,230.76,230.78,27722925,,quote
520,2025-01-21 14:44:47,NVDA,141.2484,300,141.25,145227717,2025-01-21 20:44:45,quote
521,2025-01-21 14:44:47,META,616.9475,800,100,7578777,2025-01-21 20:44:46,quote
522,2025-01-21 14:44:47,AAPL,221.52,221.51,221.53,70439241,2025-01-21 20:44:46,quote
523,2025-01-21 14:44:47,SPY,602.58,602.57,602.6,28043155,2025-01-21 20:44:46,quote
524,2025-01-21 14:44:47,MSTR,387.65,387.65,388.16,21476791,2025-01-21 20:44:46,quote
525,2025-01-21 14:44:47,COIN,,,,10799344,,quote
526,2025-01-21 14:44:47,AMZN,230.81,230.77,230.81,27724193,2025-01-21 20:44:47,quote
527,2025-01-21 14:44:47,NVDA,141.25,600,100,145231595,2025-01-21 20:44:46,quote
528,2025-01-21 14:44:47,GOOG,200.1771,600,100,11157906,2025-01-21 20:44:46,quote
529,2025-01-21 14:44:47,NFLX,,,,5045271,,quote
530,2025-01-21 14:44:47,TSLA,421.99,421.92,422.08,76429601,2025-01-21 20:44:46,quote
531,2025-01-21 14:44:48,GS,634,633.78,300,4292569,,quote
532,2025-01-21 14:44:48,QQQ,524.78,524.77,524.79,18805828,2025-01-21 20:44:46,quote
533,2025-01-21 14:44:48,AAPL,,1100,200,70439454,2025-01-21 20:44:47,quote
534,2025-01-21 14:44:48,GOOG,,200,200,11157929,,quote
535,2025-01-21 14:44:48,COIN,,296.1,,10799357,,quote
536,2025-01-21 14:44:48,SPY,,100,602.59,28044148,,quote
537,2025-01-21 14:44:48,TSLA,421.905,421.86,421.95,76433582,2025-01-21 20:44:47,quote
538,2025-01-21 14:44:48,NVDA,141.245,500,300,145231999,2025-01-21 20:44:47,quote
539,2025-01-21 14:44:48,MSTR,387.6639,,388.14,21477246,2025-01-21 20:44:47,quote
540,2025-01-21 14:44:48,NFLX,,868.15,,5045539,,quote
541,2025-01-21 14:44:48,AMZN,,300,230.8,27724235,,quote
