timestamp,symbol,event,latency_ms,request_id,stage,exchange_time,broker_latency_ms,total_latency_ms
2025-01-21T20:02:39.683705Z,AAPL,parse,3.003136,REQ000063,parse
2025-01-21T20:02:39.686306Z,AAPL,write,5.604096,REQ000063,write
2025-01-21T20:02:39.688547Z,AAPL,total,7.844864,REQ000063,total
2025-01-21T20:02:39.691136Z,AAPL,broker,10.434048,REQ000063,broker
2025-01-21T20:02:39.695414Z,QQQ,wire,0.236032,REQ000064,wire
2025-01-21T20:02:39.697438Z,QQQ,parse,2.259968,REQ000064,parse
2025-01-21T20:02:39.699362Z,QQQ,write,4.184064,REQ000064,write
2025-01-21T20:02:39.701293Z,QQQ,total,6.115072,REQ000064,total
2025-01-21T20:02:39.703196Z,QQQ,broker,8.018176,REQ000064,broker
2025-01-21T20:02:40.657192Z,SPY,wire,0.83072,REQ000065,wire
2025-01-21T20:02:40.662244Z,SPY,parse,5.88288,REQ000065,parse
2025-01-21T20:02:40.665650Z,SPY,write,9.288704,REQ000065,write
2025-01-21T20:02:40.668878Z,SPY,total,12.516864,REQ000065,total
2025-01-21T20:02:40.671709Z,SPY,broker,15.347968,REQ000065,broker
2025-01-21T20:02:40.676624Z,AAPL,wire,0.250112,REQ000066,wire
2025-01-21T20:02:40.679394Z,AAPL,parse,3.020032,REQ000066,parse
2025-01-21T20:02:40.682047Z,AAPL,write,5.67296,REQ000066,write
2025-01-21T20:02:40.684765Z,AAPL,total,8.391168,REQ000066,total
2025-01-21T20:02:40.687388Z,AAPL,broker,11.013888,REQ000066,broker
2025-01-21T20:02:40.692026Z,QQQ,wire,0.261632,REQ000067,wire
2025-01-21T20:02:40.696992Z,QQQ,parse,5.227776,REQ000067,parse
2025-01-21T20:02:40.699556Z,QQQ,write,7.791872,REQ000067,write
2025-01-21T20:02:40.701646Z,QQQ,total,9.881856,REQ000067,total
2025-01-21T20:02:40.703638Z,QQQ,broker,11.873792,REQ000067,broker
2025-01-21T20:02:41.656067Z,AAPL,wire,0.578816,REQ000068,wire
2025-01-21T20:02:41.660374Z,AAPL,parse,4.886016,REQ000068,parse
2025-01-21T20:02:41.665149Z,AAPL,write,9.660928,REQ000068,write
2025-01-21T20:02:41.668402Z,AAPL,total,12.91392,REQ000068,total
2025-01-21T20:02:41.671140Z,AAPL,broker,15.65184,REQ000068,broker
2025-01-21T20:02:41.675877Z,SPY,wire,0.255232,REQ000069,wire
2025-01-21T20:02:41.678368Z,SPY,parse,2.746112,REQ000069,parse
2025-01-21T20:02:41.680599Z,SPY,write,4.977152,REQ000069,write
2025-01-21T20:02:41.682782Z,SPY,total,7.160064,REQ000069,total
2025-01-21T20:02:41.685073Z,SPY,broker,9.451008,REQ000069,broker
2025-01-21T20:02:42.655330Z,AAPL,wire,0.547072,REQ000070,wire
2025-01-21T20:02:42.659879Z,AAPL,parse,5.095936,REQ000070,parse
2025-01-21T20:02:42.663606Z,AAPL,write,8.82304,REQ000070,write
2025-01-21T20:02:42.667066Z,AAPL,total,12.283136,REQ000070,total
2025-01-21T20:02:42.670868Z,AAPL,broker,16.084992,REQ000070,broker
2025-01-21T20:02:42.677472Z,SPY,wire,0.431872,REQ000071,wire
2025-01-21T20:02:42.681083Z,SPY,parse,4.042752,REQ000071,parse
